City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Gambier,AU,2019-11-09 02:16:35,-37.83,140.78,53.6,66,90,19.46
1,Uttarkashi,IN,2019-11-09 02:16:35,30.73,78.44,58.39,38,0,4.83
2,Iqaluit,CA,2019-11-09 02:16:36,63.75,-68.52,5.0,77,40,8.05
3,Hithadhoo,MV,2019-11-09 02:16:36,-0.6,73.08,81.82,76,46,10.38
4,Bluff,AU,2019-11-09 02:12:21,-23.58,149.07,87.78,16,0,18.14
5,Punta Arenas,CL,2019-11-09 02:15:51,-53.16,-70.91,39.2,64,77,11.41
6,Rikitea,PF,2019-11-09 02:13:37,-23.12,-134.97,73.47,76,100,10.74
7,Sibi,PK,2019-11-09 02:16:36,29.55,67.88,67.12,32,0,1.68
8,Aksarka,RU,2019-11-09 02:16:37,66.56,67.8,2.97,84,81,5.5
9,Katsuura,JP,2019-11-09 02:16:37,33.93,134.5,62.6,59,20,10.29
10,Port Alfred,ZA,2019-11-09 02:16:37,-33.59,26.89,57.0,83,73,1.99
11,Busselton,AU,2019-11-09 02:16:37,-33.64,115.35,88.0,21,17,4.03
12,Touros,BR,2019-11-09 02:12:25,-5.2,-35.46,78.8,78,75,6.93
13,Bambanglipuro,ID,2019-11-09 02:16:38,-7.95,110.28,86.43,52,5,9.06
14,Severo-Kurilsk,RU,2019-11-09 02:16:38,50.68,156.12,28.85,77,97,21.07
15,Barrow,AR,2019-11-09 02:15:40,-38.31,-60.23,51.42,75,100,5.7
16,Mataura,NZ,2019-11-09 02:16:38,-46.19,168.86,69.01,58,100,11.99
17,Clyde River,CA,2019-11-09 02:16:39,70.47,-68.59,17.6,100,90,8.05
18,San Ignacio,PE,2019-11-09 02:16:39,-5.15,-79.0,60.71,94,44,1.86
19,Dabra,IN,2019-11-09 02:16:39,25.88,78.33,73.81,48,0,6.04
20,Taunggyi,MM,2019-11-09 02:16:39,20.78,97.03,65.8,97,100,2.42
21,Cabedelo,BR,2019-11-09 02:16:39,-6.97,-34.84,78.8,78,40,9.17
22,Puerto Madryn,AR,2019-11-09 02:16:40,-42.77,-65.04,51.69,51,59,16.53
23,Ust-Kulom,RU,2019-11-09 02:16:40,61.69,53.69,10.63,87,100,3.4
24,Qaanaaq,GL,2019-11-09 02:13:41,77.48,-69.36,-5.21,57,0,5.77
25,Ahtopol,BG,2019-11-09 02:16:40,42.1,27.94,64.0,77,0,5.82
26,Vilhena,BR,2019-11-09 02:16:41,-12.74,-60.15,70.72,82,24,1.92
27,Vostok,RU,2019-11-09 02:16:41,46.45,135.83,18.1,61,78,8.77
28,Balkhash,KZ,2019-11-09 02:16:41,46.84,74.98,28.4,100,39,4.47
29,East London,ZA,2019-11-09 02:16:41,-33.02,27.91,62.01,68,63,2.8
30,Carnarvon,ZA,2019-11-09 02:16:42,-30.97,22.13,54.64,55,43,14.27
31,Cabo San Lucas,MX,2019-11-09 02:16:42,22.89,-109.91,84.99,47,5,6.93
32,Bambous Virieux,MU,2019-11-09 02:16:42,-20.34,57.76,69.01,88,40,4.7
33,Ushuaia,AR,2019-11-09 02:16:14,-54.81,-68.31,35.6,98,75,23.04
34,Trinidad,BO,2019-11-09 02:16:42,-14.83,-64.9,74.7,88,100,2.13
35,Livingston,US,2019-11-09 02:16:42,32.58,-88.19,42.01,80,1,6.67
36,Kokopo,PG,2019-11-09 02:16:43,-4.34,152.27,83.48,74,79,9.86
37,Barinas,VE,2019-11-09 02:16:43,8.64,-70.23,75.06,89,0,3.94
38,Vao,EE,2019-11-09 02:16:43,59.1,26.19,36.91,97,100,7.96
39,Sal Rei,CV,2019-11-09 02:16:43,16.18,-22.92,75.2,69,75,12.75
40,Torbay,CA,2019-11-09 02:16:43,47.66,-52.73,52.0,93,90,17.22
41,Grand Gaube,MU,2019-11-09 02:16:44,-20.01,57.66,69.01,88,40,4.7
42,Vanderhoof,CA,2019-11-09 02:16:44,54.02,-124.02,37.09,96,100,1.3
43,Arraial Do Cabo,BR,2019-11-09 02:14:58,-22.97,-42.02,72.05,95,100,5.82
44,Ulundi,ZA,2019-11-09 02:16:44,-28.29,31.43,58.55,78,84,2.44
45,Beringovskiy,RU,2019-11-09 02:16:44,63.05,179.32,24.53,87,99,10.0
46,Coihaique,CL,2019-11-09 02:16:44,-45.58,-72.07,51.8,98,100,2.24
47,Bredasdorp,ZA,2019-11-09 02:16:45,-34.53,20.04,62.01,67,100,17.22
48,Ajra,IN,2019-11-09 02:16:45,16.12,74.21,64.4,100,75,1.68
49,Manakara,MG,2019-11-09 02:16:46,-22.14,48.01,71.47,89,7,4.38
50,Castro,CL,2019-11-09 02:16:46,-42.48,-73.76,46.4,87,63,6.93
51,Sorata,BO,2019-11-09 02:16:46,-15.77,-68.65,35.1,96,100,3.91
52,Kapaa,US,2019-11-09 02:16:46,22.08,-159.32,82.4,61,20,5.82
53,Luderitz,NA,2019-11-09 02:16:46,-26.65,15.16,55.4,100,59,5.82
54,Hobart,AU,2019-11-09 02:16:47,-42.88,147.33,55.99,47,75,12.75
55,Coquimbo,CL,2019-11-09 02:16:47,-29.95,-71.34,55.4,87,75,4.7
56,Axim,GH,2019-11-09 02:16:47,4.87,-2.24,74.43,91,4,0.81
57,Tasiilaq,GL,2019-11-09 02:16:47,65.61,-37.64,37.4,59,100,43.62
58,Batagay,RU,2019-11-09 02:16:48,67.65,134.64,-10.13,92,3,1.9
59,Monywa,MM,2019-11-09 02:16:48,22.12,95.13,77.77,84,94,3.89
60,Kodiak,US,2019-11-09 02:13:46,39.95,-94.76,37.99,51,1,9.17
61,Cidreira,BR,2019-11-09 02:16:48,-30.17,-50.22,70.5,87,0,18.92
62,Den Helder,NL,2019-11-09 02:16:48,52.96,4.76,45.0,93,90,12.75
63,Along,IN,2019-11-09 02:16:48,28.17,94.8,71.08,57,100,1.28
64,Chokurdakh,RU,2019-11-09 02:16:49,70.62,147.9,-9.06,99,98,3.29
65,Anchorage,US,2019-11-09 02:16:49,61.22,-149.89,42.8,86,1,5.82
66,Numaligarh,IN,2019-11-09 02:16:49,26.63,93.73,69.39,79,100,1.41
67,Caravelas,BR,2019-11-09 02:16:49,-17.73,-39.27,70.21,95,8,6.78
68,Kualakapuas,ID,2019-11-09 02:16:49,-3.01,114.39,89.6,62,40,5.82
69,Malibu,MX,2019-11-09 02:16:50,16.77,-93.16,75.2,73,40,16.11
70,Cape Town,ZA,2019-11-09 02:16:50,-33.93,18.42,64.99,63,86,5.82
71,Half Moon Bay,US,2019-11-09 02:16:50,37.46,-122.43,62.01,87,90,6.93
72,Leningradskiy,RU,2019-11-09 02:16:50,69.38,178.42,19.26,75,0,13.98
73,Palmer,AU,2019-11-09 02:16:50,-34.85,139.16,64.99,44,75,16.11
74,Thio,NC,2019-11-09 02:16:51,-21.61,166.22,80.6,51,75,10.29
75,Abonnema,NG,2019-11-09 02:16:51,4.71,6.79,75.2,94,75,3.71
