City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Laguna,BZ,82.4,light rain,16.17,-88.94,Laguna Maya Lodge
5,Hofn,IS,45.79,light rain,64.25,-15.21,Hótel Höfn
6,Rikitea,PF,73.24,light rain,-23.12,-134.97,Pension Maro'i
22,Alofi,NU,71.6,light rain,-19.06,-169.92,Taloa Heights
23,Finschhafen,PG,79.92,light rain,-6.6,147.85,
37,Saldanha,PT,46.15,light rain,41.42,-6.55,
42,Hithadhoo,MV,82.22,light rain,-0.6,73.08,Scoop Guest House
47,Kaitangata,NZ,52.0,light rain,-46.28,169.85,
49,Mataura,NZ,48.99,moderate rain,-46.19,168.86,Ellie's Villa
70,Manokwari,ID,73.33,light rain,-0.87,134.08,Swiss Belhotel Manokwari
77,Stuttgart,DE,48.0,light rain,48.78,9.18,Hotel Motel One Stuttgart-Hauptbahnhof
100,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
106,Kaniama,CD,77.43,moderate rain,-7.57,24.18,
112,Tevaitoa,PF,79.74,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
142,Labuhan,ID,75.7,light rain,-2.54,115.51,Pondok Indah Gula Habang
153,Faanui,PF,79.88,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
158,Kavieng,PG,82.51,moderate rain,-2.57,150.8,Nusa Island Retreat
159,Mendi,ET,69.35,moderate rain,9.8,35.1,Jline Nus Hotel
206,Kandrian,PG,73.4,moderate rain,-6.21,149.55,
213,Santiago,PH,71.06,heavy intensity rain,16.69,121.54,GraceHill EconoSuites
246,Kalmunai,LK,82.89,light rain,7.42,81.82,VS Villa
257,Tuatapere,NZ,48.0,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
273,Sabha,LY,82.96,light rain,27.03,14.43,محطة سفر غات
279,San Francisco,CO,54.95,light rain,1.17,-76.88,Estación de Policía San Francisco
281,Lorengau,PG,82.13,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
284,Frederico Westphalen,BR,81.66,light rain,-27.36,-53.4,Hotel Palace Frederico
292,Watsa,CD,74.62,moderate rain,3.04,29.53,Hôtel Le Pacifique
304,Vilhena,BR,69.46,moderate rain,-12.74,-60.15,Hotel Mirage
316,Canoinhas,BR,74.03,light rain,-26.18,-50.4,Santa Catarina Plaza Hotel
329,Sumbe,AO,85.46,light rain,-11.2,13.84,Hotel Ritz Sumbe
379,Weligama,LK,76.89,light rain,5.97,80.42,Weligama Bay Resort
382,Sola,TZ,82.74,light rain,-3.17,33.8,Peace Hotel
399,Shimoda,JP,52.0,light rain,34.7,138.93,Shimoda Tokyu Hotel
402,Shakiso,ET,63.59,moderate rain,5.77,38.9,Heluya International Hotel
406,Teahupoo,PF,78.8,light rain,-17.83,-149.27,Vanira Lodge
415,Kasongo,CD,82.9,light rain,-4.43,26.67,Kago Hotel
425,Inirida,CO,83.21,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
435,Tingloy,PH,78.01,light rain,13.66,120.87,Sea's Spring Resort
448,Bad Sachsa,DE,46.0,light rain,51.6,10.55,Göbel's Vital Hotel
476,Sao Gabriel Da Cachoeira,BR,87.8,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
479,Belmonte,PT,55.0,light rain,40.36,-7.35,Pousada Convento de Belmonte
489,Lannion,FR,50.0,light rain,48.73,-3.46,Hotel Arcadia
490,Tautira,PF,78.8,light rain,-17.73,-149.15,Pension Oaoa
497,Shiyan,CN,55.99,light rain,32.65,110.78,Karen International Hotel
506,Dukat,AL,63.0,moderate rain,40.25,19.57,Llogora Tourist Village
517,Laguna,BZ,82.4,light rain,16.17,-88.94,Laguna Maya Lodge
518,Hofn,IS,45.79,light rain,64.25,-15.21,Hótel Höfn
519,Rikitea,PF,73.24,light rain,-23.12,-134.97,Pension Maro'i
535,Alofi,NU,71.6,light rain,-19.06,-169.92,Taloa Heights
536,Finschhafen,PG,79.92,light rain,-6.6,147.85,
550,Saldanha,PT,46.15,light rain,41.42,-6.55,
555,Hithadhoo,MV,82.22,light rain,-0.6,73.08,Scoop Guest House
560,Kaitangata,NZ,52.0,light rain,-46.28,169.85,
562,Mataura,NZ,48.99,moderate rain,-46.19,168.86,Ellie's Villa
583,Manokwari,ID,73.33,light rain,-0.87,134.08,Swiss Belhotel Manokwari
590,Stuttgart,DE,48.0,light rain,48.78,9.18,Hotel Motel One Stuttgart-Hauptbahnhof
613,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
619,Kaniama,CD,77.43,moderate rain,-7.57,24.18,
625,Tevaitoa,PF,79.74,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
655,Labuhan,ID,75.7,light rain,-2.54,115.51,Pondok Indah Gula Habang
666,Faanui,PF,79.88,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
671,Kavieng,PG,82.51,moderate rain,-2.57,150.8,Nusa Island Retreat
672,Mendi,ET,69.35,moderate rain,9.8,35.1,Jline Nus Hotel
719,Kandrian,PG,73.4,moderate rain,-6.21,149.55,
726,Santiago,PH,71.06,heavy intensity rain,16.69,121.54,GraceHill EconoSuites
759,Kalmunai,LK,82.89,light rain,7.42,81.82,VS Villa
770,Tuatapere,NZ,48.0,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
786,Sabha,LY,82.96,light rain,27.03,14.43,محطة سفر غات
792,San Francisco,CO,54.95,light rain,1.17,-76.88,Estación de Policía San Francisco
794,Lorengau,PG,82.13,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
797,Frederico Westphalen,BR,81.66,light rain,-27.36,-53.4,Hotel Palace Frederico
805,Watsa,CD,74.62,moderate rain,3.04,29.53,Hôtel Le Pacifique
817,Vilhena,BR,69.46,moderate rain,-12.74,-60.15,Hotel Mirage
829,Canoinhas,BR,74.03,light rain,-26.18,-50.4,Santa Catarina Plaza Hotel
842,Sumbe,AO,85.46,light rain,-11.2,13.84,Hotel Ritz Sumbe
892,Weligama,LK,76.89,light rain,5.97,80.42,Weligama Bay Resort
895,Sola,TZ,82.74,light rain,-3.17,33.8,Peace Hotel
912,Shimoda,JP,52.0,light rain,34.7,138.93,Shimoda Tokyu Hotel
915,Shakiso,ET,63.59,moderate rain,5.77,38.9,Heluya International Hotel
919,Teahupoo,PF,78.8,light rain,-17.83,-149.27,Vanira Lodge
928,Kasongo,CD,82.9,light rain,-4.43,26.67,Kago Hotel
