City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain Inches (last 3hrs),Snow Inches (last 3 hrs)
0,Minot,US,11/9/2019 16:08,48.23,-101.3,37,100,90,4.7,light rain,0,0
1,Halifax,CA,11/9/2019 16:09,44.65,-63.58,35.01,74,75,13.87,broken clouds,0,0
2,Dikson,RU,11/9/2019 16:09,73.51,80.55,-1.65,98,61,5.17,broken clouds,0,0
3,Pacific Grove,US,11/9/2019 16:09,36.62,-121.92,51.01,93,90,13.15,fog,0,0
4,Laguna,BZ,11/9/2019 16:09,16.17,-88.94,82.4,74,2,6.93,light rain,0.13,0
5,Hofn,IS,11/9/2019 16:09,64.25,-15.21,45.79,74,100,24.7,light rain,0.63,0
6,Rikitea,PF,11/9/2019 16:09,-23.12,-134.97,73.24,76,100,6.69,light rain,0.44,0
7,Mar Del Plata,AR,11/9/2019 16:09,-46.43,-67.52,50.43,46,0,10.65,clear sky,0,0
8,Adrar,DZ,11/9/2019 16:09,27.87,-0.29,75.2,19,0,20.8,clear sky,0,0
9,Mangrol,IN,11/9/2019 16:09,25.33,76.51,75.76,45,0,4.38,clear sky,0,0
10,Upernavik,GL,11/9/2019 16:09,72.79,-56.15,10.58,75,70,10.69,broken clouds,0,0
11,Honiara,SB,11/9/2019 16:09,-9.43,159.96,75.2,94,40,3.36,scattered clouds,0,0
12,Yellowknife,CA,11/9/2019 16:06,62.45,-114.38,-13.01,75,20,10.29,few clouds,0,0
13,Port Elizabeth,US,11/9/2019 16:09,39.31,-74.98,42.01,38,1,3.36,clear sky,0,0
14,Jamestown,AU,11/9/2019 16:09,-33.21,138.6,44.49,92,0,5.03,clear sky,0,0
15,Mahebourg,MU,11/9/2019 16:09,-20.41,57.7,75.2,73,75,6.93,shower rain,0,0
16,Kilindoni,TZ,11/9/2019 16:09,-7.91,39.67,82.31,78,97,12.88,overcast clouds,0,0
17,Saskylakh,RU,11/9/2019 16:09,71.97,114.09,-9.57,98,100,8.14,light snow,0,0.5
18,Cape Town,ZA,11/9/2019 16:08,-33.93,18.42,80.6,39,0,18.34,clear sky,0,0
19,Sesheke,NA,11/9/2019 16:09,-17.47,24.29,98.6,17,20,3.36,few clouds,0,0
20,Faya,SA,11/9/2019 16:09,18.39,42.45,68,88,75,5.82,thunderstorm with rain,0,0
21,Lebu,ET,11/9/2019 16:09,8.96,38.73,68,42,75,13.87,broken clouds,0,0
22,Alofi,NU,11/9/2019 16:07,-19.06,-169.92,71.6,94,4,5.82,light rain,0.31,0
23,Finschhafen,PG,11/9/2019 16:09,-6.6,147.85,79.92,80,100,2.17,light rain,2.31,0
24,Tripoli,GR,11/9/2019 16:09,37.51,22.37,68,64,40,3.98,scattered clouds,0,0
25,Hermanus,ZA,11/9/2019 16:09,-34.42,19.24,79,71,12,15.01,few clouds,0,0
26,Hays,US,11/9/2019 16:09,38.88,-99.33,61,49,1,3.36,clear sky,0,0
27,Kristinehamn,SE,11/9/2019 16:09,59.31,14.11,36,96,100,8.05,overcast clouds,0,0
28,Ostersund,SE,11/9/2019 16:09,63.18,14.64,18,85,100,8.05,light snow,0,0.19
29,Spencer,US,11/9/2019 16:09,42.24,-71.99,36,47,1,6.93,clear sky,0,0
30,Avarua,CK,11/9/2019 16:09,-21.21,-159.78,71.6,88,66,1.12,light rain,0,0
31,Tuktoyaktuk,CA,11/9/2019 16:09,69.44,-133.03,3.2,77,20,14.99,few clouds,0,0
32,Dalvik,SE,11/9/2019 16:09,57.79,14.13,39.99,100,100,10.29,fog,0,0
33,Mandalgovi,MN,11/9/2019 16:09,45.76,106.27,32.77,56,56,13.96,broken clouds,0,0
34,Hasaki,JP,11/9/2019 16:09,35.73,140.83,51.8,76,75,6.93,broken clouds,0,0
35,Sorland,NO,11/9/2019 16:09,67.67,12.69,31.73,66,85,14.94,overcast clouds,0,0
36,Hamilton,CA,11/9/2019 16:05,43.26,-79.87,36,54,90,9.17,overcast clouds,0,0
37,Saldanha,PT,11/9/2019 16:09,41.42,-6.55,46.15,89,87,6.26,light rain,2.19,0
38,Punta Arenas,CL,11/9/2019 16:09,-53.16,-70.91,46.4,48,40,10.29,scattered clouds,0,0
39,Sevierville,US,11/9/2019 16:09,35.87,-83.56,45,51,1,3.47,clear sky,0,0
40,Ayan,IR,11/9/2019 16:09,38.23,44.7,38.61,38,0,1.59,clear sky,0,0
41,Qaanaaq,GL,11/9/2019 16:09,77.48,-69.36,-5.44,51,0,5.84,clear sky,0,0
42,Hithadhoo,MV,11/9/2019 16:09,-0.6,73.08,82.22,76,19,9.46,light rain,0.69,0
43,Albany,US,11/9/2019 16:07,42.65,-73.75,35.01,68,20,5.64,few clouds,0,0
44,Iranshahr,IR,11/9/2019 16:09,27.21,60.69,73.4,25,67,4.7,broken clouds,0,0
45,Kapaa,US,11/9/2019 16:09,22.08,-159.32,71.6,78,90,10.29,heavy intensity rain,0,0
46,Victoria,BN,11/9/2019 16:09,5.28,115.24,77,83,75,2.24,broken clouds,0,0
47,Kaitangata,NZ,11/9/2019 16:09,-46.28,169.85,52,92,87,4.07,light rain,2,0
48,Verkhnevilyuysk,RU,11/9/2019 16:09,63.45,120.31,14.61,95,100,6.04,light snow,0,0.81
49,Mataura,NZ,11/9/2019 16:09,-46.19,168.86,48.99,96,100,5.01,moderate rain,5.75,0
50,Puerto Ayora,EC,11/9/2019 16:09,-0.74,-90.35,77,65,40,13.87,scattered clouds,0,0
51,Avera,US,11/9/2019 16:09,33.19,-82.53,48.99,34,1,9.17,clear sky,0,0
52,Pangnirtung,CA,11/9/2019 16:09,66.15,-65.72,24.8,62,90,10.85,overcast clouds,0,0
53,Sao Joao Da Barra,BR,11/9/2019 16:09,-21.64,-41.05,86,66,75,9.17,broken clouds,0,0
54,Atuona,PF,11/9/2019 16:09,-9.8,-139.03,79.12,76,15,13.53,few clouds,0,0
55,Te Anau,NZ,11/9/2019 16:09,-45.41,167.72,42.28,96,100,6.24,moderate rain,3.88,0
56,East London,ZA,11/9/2019 16:09,-33.02,27.91,66.2,68,20,17.22,few clouds,0,0
57,Haines Junction,CA,11/9/2019 16:09,60.75,-137.51,-2.4,94,0,7.23,clear sky,0,0
58,Castro,CL,11/9/2019 16:09,-42.48,-73.76,60.8,63,67,6.93,broken clouds,0,0
59,Mayo,CA,11/9/2019 16:09,63.59,-135.9,-18.41,75,5,6.93,clear sky,0,0
60,Port Alfred,ZA,11/9/2019 16:09,-33.59,26.89,66,75,100,8.01,overcast clouds,0,0
61,Mikuni,JP,11/9/2019 16:09,36.22,136.15,51.8,81,75,4.7,broken clouds,0,0
62,Puerto Baquerizo Moreno,EC,11/9/2019 16:09,-0.9,-89.6,75.2,78,40,17.22,scattered clouds,0,0
63,Codrington,AU,11/9/2019 16:09,-28.95,153.24,57.99,81,90,4.03,overcast clouds,0,0
64,Bambanglipuro,ID,11/9/2019 16:09,-7.95,110.28,73.58,91,46,1.25,scattered clouds,0,0
65,Bethel,US,11/9/2019 16:09,60.79,-161.76,28.4,92,1,12.75,clear sky,0,0
66,Nikolskoye,RU,11/9/2019 16:09,59.7,30.79,39.99,93,90,8.95,light intensity shower rain,0,0
67,Pevek,RU,11/9/2019 16:09,69.7,170.27,7.41,91,44,7.36,scattered clouds,0,0
68,Kendari,ID,11/9/2019 16:09,-3.99,122.52,74.61,90,4,0.4,clear sky,0,0
69,Nishihara,JP,11/9/2019 16:09,35.74,139.53,57.99,62,33,11.41,scattered clouds,0,0
70,Manokwari,ID,11/9/2019 16:09,-0.87,134.08,73.33,83,99,6.24,light rain,0.5,0
71,Esperance,AU,11/9/2019 16:09,-33.86,121.89,75.2,22,0,18.34,clear sky,0,0
72,Bluff,AU,11/9/2019 16:09,-23.58,149.07,64.36,23,0,7.02,clear sky,0,0
73,Correntina,BR,11/9/2019 16:09,-13.34,-44.63,98.6,19,10,5.41,clear sky,0,0
74,Khatanga,RU,11/9/2019 16:09,71.98,102.47,-3.64,97,100,10.38,light snow,0,0.31
75,Cap Malheureux,MU,11/9/2019 16:09,-19.98,57.61,75.2,73,75,6.93,shower rain,0,0
76,Gushikawa,JP,11/9/2019 16:09,26.35,127.87,69.8,60,20,10.29,few clouds,0,0
77,Stuttgart,DE,11/9/2019 16:07,48.78,9.18,48,75,5,3.36,light rain,0.13,0
78,Busselton,AU,11/9/2019 16:09,-33.64,115.35,69.01,52,0,13.65,clear sky,0,0
79,Carnarvon,ZA,11/9/2019 16:09,-30.97,22.13,85.73,9,100,17.18,overcast clouds,0,0
80,Oistins,BB,11/9/2019 16:09,13.07,-59.53,80.6,69,40,25.28,shower rain,0,0
81,Itoman,JP,11/9/2019 16:09,26.12,127.67,69.8,60,20,10.29,few clouds,0,0
82,Puerto Del Rosario,ES,11/9/2019 16:09,28.5,-13.86,73.4,64,20,28.86,few clouds,0,0
83,Hobart,AU,11/9/2019 16:09,-42.88,147.33,50,57,75,10.29,broken clouds,0,0
84,Podgornoye,RU,11/9/2019 16:09,57.79,82.64,9.3,73,100,7.63,overcast clouds,0,0
85,Vila Velha,BR,11/9/2019 16:09,-3.71,-38.6,89.6,52,20,20.8,few clouds,0,0
86,Saint George,GR,11/9/2019 16:09,39.45,22.34,68,77,100,3.8,overcast clouds,0,0
87,Anadyr,RU,11/9/2019 16:09,64.73,177.51,21.2,92,90,4.47,overcast clouds,0,0
88,Ushuaia,AR,11/9/2019 16:09,-54.81,-68.31,41,60,75,13.87,shower rain,0,0
89,Vaini,IN,11/9/2019 16:09,15.34,74.49,73.4,83,20,2.24,few clouds,0,0
90,Kachiry,KZ,11/9/2019 16:09,53.07,76.1,26.19,58,100,14.27,overcast clouds,0,0
91,North Platte,US,11/9/2019 16:08,41.12,-100.77,53.01,74,1,3.36,clear sky,0,0
92,Beringovskiy,RU,11/9/2019 16:09,63.05,179.32,20.77,94,99,11.41,overcast clouds,0,0
93,Henties Bay,NA,11/9/2019 16:09,-22.12,14.28,61,86,0,7,clear sky,0,0
94,Barrow,AR,11/9/2019 16:09,-38.31,-60.23,68.81,35,0,8.88,clear sky,0,0
95,Ancud,CL,11/9/2019 16:09,-41.87,-73.83,60.8,63,68,6.93,broken clouds,0,0
